,oscillator,ID,jacobian
73,True,4698234396238880551,"[  -15.1829413      0.             6.09388053   -33.29462997
 -1863.16101575   250.54295594    15.1829413   1853.4655015
  -191.41863738]"
74,True,4497829210998926411,"[-27.6985073   71.87997798  39.9333211   19.67349995 -18.67617152
 -39.9333211    8.02500735 -55.35016621 -39.9333211 ]"
75,True,6054800897970913952,"[ 1.06026207e+02  1.53732255e-01  1.35867335e+01  6.15801988e+00
 -7.40845517e+00  0.00000000e+00 -1.98376868e+01  7.40845517e+00
 -1.08312419e+03]"
76,True,8752119417266850227,"[-197.62369886   59.02804512  -17.32704486  165.40572094  -60.35737948
   20.1683011  -165.40572094   -1.89246343   28.02388119]"
77,True,3959005338913060625,"[-420.69687468   66.34058352  -46.74409719    0.          -34.55251575
   17.66003765 -277.81330966  -31.78806777  -25.66401487]"
78,True,7112889728927275899,"[-225.58359854    0.          -34.42220761   24.86770607  -18.4407168
    0.          -33.29075497   18.4407168  -543.22279667]"
79,True,343932395432300527,"[ -5.39013503 -14.1929897   70.03069464 -60.24729074 -16.33081828
  32.07239069 103.06089209  16.33081828 -67.08773801]"
80,True,6798068446172678580,"[-232.84850075   -0.34078585   69.27620915    0.           -9.1916421
   64.62529956  265.05967828    0.          -52.22521667]"
81,True,3899039487316502675,"[-110.86406957    9.02641902    8.58885321  218.69017709 -163.69298512
  -77.33701685    3.03796205    0.           -8.58885321]"
82,True,69028268630700722,"[-136.81309751  382.47997607  217.80052679   90.03499695 -373.07652701
 -217.68644233   -4.70450882 -348.42007642 -118.82323312]"
83,True,8193043575387780035,"[-13.03616237   0.           3.9351607  -83.02166608  47.50940022
  19.25328686   0.           5.71101959 -19.25328686]"
84,True,2357580284408922479,"[-540.35342827  -39.48871957  179.67842185    5.23502382   -9.26600658
    0.          332.43978277   18.53201316  -77.50169114]"
85,True,272214105978876318,"[-386.15370176   89.79655922  -34.80661172  470.66726196 -169.89224329
   93.07413364 -218.75719271  135.37295078  -40.41774913]"
86,True,8016032088594729022,"[ -49.4964966    50.65566958   54.83162289   49.4964966  -297.67106697
 -149.67012335  -22.84399478 -303.59818064 -124.8158089 ]"
87,True,3883265881358433915,"[-157.36993604  -10.18070416  272.835268     -9.74641655  -14.33891069
   57.8621134    44.51827837    0.          -57.8621134 ]"
88,True,7323938299012642315,"[-209.77528157   34.32857464   35.98941097  442.4069403   -67.06370625
   27.681258   -362.0992602    67.06370625  -55.0993769 ]"
89,True,4314105404666888431,"[-443.43992499   53.81177837  -16.51517117  185.50382545   -2.38324953
    0.47717503    0.           17.62410282  -12.62157048]"
90,True,7866575767276241800,"[ -45.14636296   -4.34028424  195.45172495   -9.42252583   23.99380237
    0.           21.70142122    4.34028424 -161.03576799]"
91,True,3954531747160325807,"[-50.88590877  -0.79098683  50.50422834   0.6660977   44.64133435
  26.21747342   0.           4.08636711 -21.20514835]"
92,True,8881526381584932915,"[  -9.58770833    0.           -3.03169377 -241.06780568  -49.18674724
   20.27986294   32.1511745   -45.75123324   59.06032255]"
93,True,5463025131678240984,"[ -81.11518275    0.           24.84973553    7.82843656  -16.89742582
    0.          146.57349238 -493.09798618    3.33609336]"
94,True,7605358797871015260,"[-203.46571772   78.00555238   -6.94876436 -337.69340541 -127.99673526
   59.87529139  148.4879193    29.37779348  -29.93764569]"
95,True,167218438495527835,"[-491.37258785   28.43305764   19.64736315    0.          -40.746194
   11.88042641   12.22826067  -21.38476754  -11.88042641]"
96,True,8422905056254340449,"[-520.34064682  -12.71891289  -27.9144524    63.59456443  -36.24897123
    0.            0.           97.93576823  -14.81179611]"
97,True,8920662144187449927,"[-151.35568701   89.64569756  -16.81729856  483.97918796 -245.12261924
   68.21713233 -483.97918796  157.65744884  -68.21713233]"
98,True,9060341652170674250,"[-235.8646389     0.           14.44825126  327.89601549 -126.32934745
   36.43289061 -326.05496985  126.32934745  -81.45818826]"
99,True,3343251077740582167,"[ 91.26538804   5.79190592  24.82600646   0.          -7.49707309
  24.82600646   3.84857423   0.         -24.82600646]"
100,True,7639305564877375820,"[-12.28361616   7.61041165   0.           0.         -41.57180681
   2.16750343 -78.93543581  83.14361361  57.27664058]"
101,True,4116494862402998161,"[-251.33331372  174.37398854  146.96229483  161.77973841 -177.16518955
  -83.36030164  151.19514049 -170.70753407 -100.57612757]"
102,True,2816356135998398812,"[ -53.63676885  280.27807574  187.9993673    29.31798415 -280.27807574
 -155.71004208   46.21257366 -280.27807574  -19.51116118]"
103,True,1863145083955225002,"[  -48.45249098  1031.63059343   587.76360434    48.45249098
 -1486.97620486  -573.12810746   -14.39896732 -1031.63059343
  -525.98425558]"
104,True,6052988887376795055,"[-155.52474798  -20.02573171    2.48852622 -490.56672932  -99.59980401
   11.51041595  122.29153911    8.21890631    9.29219816]"
105,True,2425254171032443763,"[  -8.86513153  382.00692427  218.79008771    2.95543043 -382.00692427
 -212.22606904   11.8194022  -382.00692427 -164.03073271]"
106,True,1189043291509548992,"[ -57.13992849   20.14514984    5.09324865    7.82606     -18.26614599
    0.           98.62773698 -187.84758957 -121.89324762]"
107,True,8491556576956808065,"[ -92.21842057  155.5943774    86.44132078   59.60865781 -422.02346711
 -170.29890849  117.31850637 -155.5943774  -165.11229522]"
108,True,365583373071068473,"[ -67.80947788  350.54113045  190.81402259   45.08934604 -112.55235971
  -95.4070113    22.63240243 -171.73262033  -95.4070113 ]"
109,True,16041350178846573,"[ -15.40322242    0.            9.33022175  -75.90710777   50.03615188
  769.88066428 -138.20694027   15.18142155 -797.09405237]"
110,True,3720466245219516120,"[   -8.09376238    37.20164573    20.66758096    -9.20145764
  1737.86741119  1014.05415306  -930.29014806 -1694.5570806
 -1138.98661296]"
111,True,1354429010136715019,"[-501.83895325    8.32600039   16.34285004  433.53139832   -8.32600039
   85.31087463 -406.85384535   70.00500519 -106.75481567]"
112,True,183422263551313853,"[-458.01147921  203.51689049  913.21407475    0.          -10.06697613
   56.60665448  916.02295842 -553.60730286 -997.58560986]"
113,True,6371264087775215080,"[-116.04827595  455.9644327   265.21947812   77.40641088 -455.9644327
 -182.16747991   77.28373015 -385.42213156 -265.21947812]"
114,True,8051871277550768763,"[-216.2305835    46.95187303   -9.70798544  700.57851987 -118.26052412
   12.14176658 -682.18666472  118.26052412  -22.37232261]"
115,True,7694577108180912259,"[ -56.41255571   47.95608968    0.         -171.63085199  -75.46730044
  397.46718134  187.19352104   34.3261704  -397.46718134]"
